MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
3/17/2021 15:43:07,1.4.2,FreeFeed,10,4.20,4,1,Pellet,Left,0,0,1,0,Timed_out,nan
3/17/2021 15:43:15,1.4.2,FreeFeed,10,4.20,1,1,Pellet,Left,0,0,2,0,1.64,nan
3/17/2021 15:49:58,1.4.2,FreeFeed,10,4.20,1,1,Pellet,Left,0,0,3,0,Timed_out,nan
3/17/2021 15:50:05,1.4.2,FreeFeed,10,4.20,1,1,Pellet,Left,0,0,4,0,0.06,nan
3/17/2021 15:50:15,1.4.2,FreeFeed,10,4.20,1,1,Pellet,Left,0,0,5,0,3.35,nan
3/17/2021 16:01:28,1.4.2,FreeFeed,10,4.20,1,1,Pellet,Left,0,0,6,0,Timed_out,nan
3/17/2021 16:01:39,1.4.2,FreeFeed,10,4.19,1,1,Pellet,Left,0,0,7,0,3.81,nan
3/17/2021 16:02:00,1.4.2,FreeFeed,10,4.20,1,1,Pellet,Left,0,0,8,0,14.62,nan
3/17/2021 16:07:26,1.4.2,FreeFeed,10,4.20,1,1,Pellet,Left,0,0,9,0,Timed_out,nan
3/17/2021 16:07:37,1.4.2,FreeFeed,10,4.19,2,1,Pellet,Left,0,0,10,0,2.03,nan
3/17/2021 16:07:51,1.4.2,FreeFeed,10,4.19,1,1,Pellet,Left,0,0,11,0,7.43,nan
3/17/2021 16:08:06,1.4.2,FreeFeed,10,4.19,1,1,Pellet,Left,0,0,12,0,6.91,nan
3/17/2021 16:08:17,1.4.2,FreeFeed,10,4.20,2,1,Pellet,Left,0,0,13,0,3.62,nan
3/17/2021 16:08:28,1.4.2,FreeFeed,10,4.19,1,1,Pellet,Left,0,0,14,0,4.14,nan
3/17/2021 16:08:39,1.4.2,FreeFeed,10,4.20,1,1,Pellet,Left,0,0,15,0,4.67,nan
